MAG,MG,Coverage
MAG00605,MG_0808RFLQV1,361.5497
MAG00606,MG_0808RFLQV1,12.201656
MAG00607,MG_0808RFLQV1,16.62717
MAG00609,MG_0808RFLQV1,40.05865
MAG00610,MG_0808RFLQV1,35.377007
MAG00611,MG_0808RFLQV1,3420.9243
MAG00612,MG_0808RFLQV1,11.963399
MAG00613,MG_0808RFLQV1,90.84781
MAG00614,MG_0808RFLQV1,10.008968
MAG00615,MG_0808RFLQV1,19.205927
MAG00616,MG_0808RFLQV1,1859.7046
MAG00617,MG_0808RFLQV1,44.689346
MAG00618,MG_0808RFLQV1,47.0858
MAG00619,MG_0808RFLQV1,221.07881
MAG00620,MG_0808RFLQV1,332.8681
MAG00623,MG_0835RFLQV1,41.855698
MAG00624,MG_0835RFLQV1,772.3817
MAG00625,MG_0835RFLQV1,225.51881
MAG00626,MG_0841RFLQV1,101.06402
MAG00627,MG_0841RFLQV1,342.0609
MAG00628,MG_0841RFLQV1,171.05855
MAG00629,MG_0841RFLQV1,1187.9177
MAG00630,MG_0841RFLQV1,87.34269
MAG00631,MG_0841RFLQV1,620.1537
MAG00633,MG_0845RFLQV1,573.85565
MAG00634,MG_0845RFLQV1,145.65593
MAG00635,MG_0846RFLQV1,171.27884
MAG00636,MG_0846RFLQV1,411.66653
MAG00638,MG_0857RFLQV1,59.257626
MAG00639,MG_0857RFLQV1,83.82746
MAG00640,MG_0857RFLQV1,19.808794
MAG00641,MG_0857RFLQV1,16.598452
MAG00642,MG_0857RFLQV1,665.6446
MAG00643,MG_0857RFLQV1,18.603065
MAG00644,MG_0857RFLQV1,13.449892
MAG00645,MG_0857RFLQV1,611.92126
MAG00646,MG_0857RFLQV1,19.99146
MAG00647,MG_0857RFLQV1,18.993177
MAG00648,MG_0857RFLQV1,25.70696
MAG00649,MG_0857RFLQV1,24.922283
MAG00650,MG_0857RFLQV1,65.42953
MAG00651,MG_0857RFLQV1,54.303013
MAG00652,MG_0857RFLQV1,12.713496
MAG00653,MG_0857RFLQV1,18.058144
MAG00654,MG_0857RFLQV1,588.9107
MAG00655,MG_0857RFLQV1,16.206055
MAG00656,MG_0857RFLQV1,68.86919
MAG00657,MG_0857RFLQV1,168.77135
